Date,,^GSPC,^IXIC,^RUT
2013-07-23,^RUT,6.481727915077911e-05,7.160205436139348e-05,8.926059618618834e-05
2013-07-24,^GSPC,5.673688945251251e-05,5.8993045697124615e-05,6.436872533861968e-05
2013-07-24,^IXIC,5.8993045697124615e-05,6.89078835582213e-05,7.09875645522817e-05
2013-07-24,^RUT,6.436872533861968e-05,7.09875645522817e-05,8.862732492519506e-05
2013-07-25,^GSPC,5.674065231057097e-05,5.901238776786253e-05,6.442788976685354e-05
2013-07-25,^IXIC,5.901238776786253e-05,6.89978547796521e-05,7.121429489386922e-05
2013-07-25,^RUT,6.442788976685354e-05,7.121429489386922e-05,8.892393845795309e-05
2013-07-26,^GSPC,5.5762272690060113e-05,5.821442730247528e-05,6.387498707925695e-05
2013-07-26,^IXIC,5.821442730247528e-05,6.835435627857735e-05,7.072761574240699e-05
2013-07-26,^RUT,6.387498707925695e-05,7.072761574240699e-05,8.87860969050185e-05
2013-07-29,^GSPC,5.451296472650326e-05,5.6725427210325766e-05,6.234193560715716e-05
2013-07-29,^IXIC,5.6725427210325766e-05,6.658163403008263e-05,6.88922060001672e-05
2013-07-29,^RUT,6.234193560715716e-05,6.88922060001672e-05,8.693943937766151e-05
2013-07-30,^GSPC,5.4507000970311754e-05,5.669255300794397e-05,6.230434954814061e-05
2013-07-30,^IXIC,5.669255300794397e-05,6.654573454337866e-05,6.878424018581762e-05
2013-07-30,^RUT,6.230434954814061e-05,6.878424018581762e-05,8.677030499614566e-05
2013-07-31,^GSPC,5.440465208008478e-05,5.6623249294747914e-05,6.215738979658038e-05
2013-07-31,^IXIC,5.6623249294747914e-05,6.65234728912124e-05,6.870319283086423e-05
2013-07-31,^RUT,6.215738979658038e-05,6.870319283086423e-05,8.657311089147551e-05
2013-08-01,^GSPC,5.489571708197747e-05,5.710596665804066e-05,6.243268422252529e-05
2013-08-01,^IXIC,5.710596665804066e-05,6.694638426001826e-05,6.871172917463812e-05
2013-08-01,^RUT,6.243268422252529e-05,6.871172917463812e-05,8.539634376941969e-05
2013-08-02,^GSPC,5.461356952484051e-05,5.69606428659297e-05,6.227321299238159e-05
2013-08-02,^IXIC,5.69606428659297e-05,6.689493097501243e-05,6.861265337206915e-05
2013-08-02,^RUT,6.227321299238159e-05,6.861265337206915e-05,8.531847165063943e-05
2013-08-05,^GSPC,5.3312633297626594e-05,5.557345551211215e-05,6.0465004210854645e-05
2013-08-05,^IXIC,5.557345551211215e-05,6.544023452941788e-05,6.673349055399392e-05
2013-08-05,^RUT,6.0465004210854645e-05,6.673349055399392e-05,8.290306399854121e-05
2013-08-06,^GSPC,5.347606606984482e-05,5.575088210405676e-05,6.07281569749891e-05
2013-08-06,^IXIC,5.575088210405676e-05,6.554107528952967e-05,6.69476160766605e-05
2013-08-06,^RUT,6.07281569749891e-05,6.69476160766605e-05,8.327098661065006e-05
2013-08-07,^GSPC,5.3486492299310044e-05,5.568942553151629e-05,6.0753422144265744e-05
2013-08-07,^IXIC,5.568942553151629e-05,6.535859099021981e-05,6.684421927613304e-05
2013-08-07,^RUT,6.0753422144265744e-05,6.684421927613304e-05,8.332840503417846e-05
